compound_name,SMILES,inchikey,ESI_mode,logRF_original,isotope_correction,organic_modifier,organic_pc,vendor,instrument_model,mass_analyzer,ESI_source,eluent_composition,publication,doi,viscosity,surface_tension,polarity_index,pH.aq.,NH4,logP,apKa1,apKa2,bpKa1,bpKa2
pyrrolidine,C1CCNC1,RWRDLPDLKQPQOW-UHFFFAOYSA-N,positive,2.66,104.795133,MeCN,50,Agilent,Agilent XCT,ion trap,ESI,MeCN/10 mM AmAc 50/50,Liigand,10.1038/s41598-020-62573-z,0.842467752,30.026945,8,6.77,1,0.21,NA,NA,11.4,NA
diethylamine,CCNCC,HPNMFZURTQLUMO-UHFFFAOYSA-N,positive,2.72,104.8181357,MeCN,50,Agilent,Agilent XCT,ion trap,ESI,MeCN/10 mM AmAc 50/50,Liigand,10.1038/s41598-020-62573-z,0.842467752,30.026945,8,6.77,1,0.52,NA,NA,10.58,NA
"3-methoxy-N,N-dimethylaniline",CN(C)C1=CC=CC(=C1)OC,MOYHVSKDHLMMPS-UHFFFAOYSA-N,positive,2,110.8756297,MeCN,50,Agilent,Agilent XCT,ion trap,ESI,MeCN/10 mM AmAc 50/50,Liigand,10.1038/s41598-020-62573-z,0.842467752,30.026945,8,6.77,1,1.92,NA,NA,3.89,-6.97
2-aminopyridine,C1=CC=NC(=C1)N,ICSNLGPSRYBMBD-UHFFFAOYSA-N,positive,1.56,106.2555037,MeCN,50,Agilent,Agilent XCT,ion trap,ESI,MeCN/10 mM AmAc 50/50,Liigand,10.1038/s41598-020-62573-z,0.842467752,30.026945,8,6.77,1,0.52,NA,NA,6.84,NA
"4-dimethylamino-N,N-dimethylaniline",CN(C)C1=CC=C(C=C1)N(C)C,CJAOGUFAAWZWNI-UHFFFAOYSA-N,positive,2.46,112.256819,MeCN,50,Agilent,Agilent XCT,ion trap,ESI,MeCN/10 mM AmAc 50/50,Liigand,10.1038/s41598-020-62573-z,0.842467752,30.026945,8,6.77,1,2.19,NA,NA,6.89,3.41
reserpine,COC1=CC=C2C=3CCN4C[C@H]5C[C@H]([C@@H]([C@H]([C@H]5C[C@@H]4C3NC2=C1)C(=O)OC)OC)OC(=O)C6=CC(=C(C(=C6)OC)OC)OC,QEVHRUUCFGRFIF-MDEJGZGSSA-N,positive,3.69,147.2634982,MeCN,50,Agilent,Agilent XCT,ion trap,ESI,MeCN/10 mM AmAc 50/50,Liigand,10.1038/s41598-020-62573-z,0.842467752,30.026945,8,6.77,1,3.53,16.29,NA,7.39,-3.92
glutamine,C(CC(=N)O)[C@@H](C(=O)O)N,ZDXPYRJPNDTMRX-VKHMYHEASA-N,positive,1.44,107.1012927,MeCN,50,Agilent,Agilent XCT,ion trap,ESI,MeCN/10 mM AmAc 50/50,Liigand,10.1038/s41598-020-62573-z,0.842467752,30.026945,8,6.77,1,-5.83,-0.46,2.07,13.07,9.53
alpha-alanine,CC(C(=O)O)N,QNAYBMKLOCPYGJ-UHFFFAOYSA-N,positive,0.97,104.021047,MeCN,50,Agilent,Agilent XCT,ion trap,ESI,MeCN/10 mM AmAc 50/50,Liigand,10.1038/s41598-020-62573-z,0.842467752,30.026945,8,6.77,1,-2.84,2.47,NA,9.48,NA
Phe-Phe-Phe-Phe,C1=CC=C(C=C1)CC(C(=NC(CC2=CC=CC=C2)C(=NC(CC3=CC=CC=C3)C(=NC(CC4=CC=CC=C4)C(=O)O)O)O)O)N,NJNPEPZWJBIJCK-UHFFFAOYSA-N,positive,3.4,151.5729882,MeCN,50,Agilent,Agilent XCT,ion trap,ESI,MeCN/10 mM AmAc 50/50,Liigand,10.1038/s41598-020-62573-z,0.842467752,30.026945,8,6.77,1,4.26,3.16,3.68,9.53,1.4
"1,10-phenanthroline",C1=CC2=CC=C3C=CC=NC3=C2N=C1,DGEZNRSVGBDHLK-UHFFFAOYSA-N,positive,3.6,114.4816014,MeCN,50,Agilent,Agilent XCT,ion trap,ESI,MeCN/10 mM AmAc 50/50,Liigand,10.1038/s41598-020-62573-z,0.842467752,30.026945,8,6.77,1,2.29,NA,NA,4.8,0.42
"N,N-dimethyl-4-[2-[4-[(triphenylphosphoranylidene)amino]phenyl]diazenyl]-benzenamine",CN(C)C1=CC=C(C=C1)/N=N/C2=CC=C(C=C2)N=P(C3=CC=CC=C3)(C4=CC=CC=C4)C5=CC=CC=C5,BDKHGSIKTGAJFQ-JEIPZWNWSA-N,positive,4.41,143.4561521,MeCN,50,Agilent,Agilent XCT,ion trap,ESI,MeCN/10 mM AmAc 50/50,Liigand,10.1038/s41598-020-62573-z,0.842467752,30.026945,8,6.77,1,9.85,NA,NA,3.59,1.72
"4-[2-[4-[(diphenyl-1-pyrrolidinylphosphoranylidene)amino]phenyl]diazenyl]-N,N-dimethyl-benzenamine",CN(C)C1=CC=C(C=C1)/N=N/C2=CC=C(C=C2)N=P(C3=CC=CC=C3)(C4=CC=CC=C4)N5CCCC5,YDXCUZWMJGXIGH-QNEJGDQOSA-N,positive,4.6,140.9563016,MeCN,50,Agilent,Agilent XCT,ion trap,ESI,MeCN/10 mM AmAc 50/50,Liigand,10.1038/s41598-020-62573-z,0.842467752,30.026945,8,6.77,1,8.36,NA,NA,5.53,3.58
4-[2-(4-nitrophenyl)diazenyl]-N-(phenyldi-1-pyrrolidinylphosphoranylidene)benzenamine,C1=CC=C(C=C1)P(=NC2=CC=C(C=C2)/N=N/C3=CC=C(C=C3)N(=O)=O)(N4CCCC4)N5CCCC5,CVMNNFOTFQWDTF-BYYHNAKLSA-N,positive,4.79,135.9201974,MeCN,50,Agilent,Agilent XCT,ion trap,ESI,MeCN/10 mM AmAc 50/50,Liigand,10.1038/s41598-020-62573-z,0.842467752,30.026945,8,6.77,1,6.56,NA,NA,2.72,-0.73
3-methoxycatechol,COC1=CC=CC(=C1O)O,LPYUENQFPVNPHY-UHFFFAOYSA-N,positive,-0.33,108.5474435,MeCN,50,Agilent,Agilent XCT,ion trap,ESI,MeCN/10 mM AmAc 50/50,Liigand,10.1038/s41598-020-62573-z,0.842467752,30.026945,8,6.77,1,1.21,9.56,13.13,-4.9,-5.41
4-methoxypyridine,COC1=CC=NC=C1,XQABVLBGNWBWIV-UHFFFAOYSA-N,positive,1.71,107.2357361,MeCN,50,Agilent,Agilent XCT,ion trap,ESI,MeCN/10 mM AmAc 50/50,Liigand,10.1038/s41598-020-62573-z,0.842467752,30.026945,8,6.77,1,0.6,NA,NA,6.52,-7.77
phthalic acid,C1=CC=C(C(=C1)C(=O)O)C(=O)O,XNGIFLGASWRNHJ-UHFFFAOYSA-N,positive,0.82,109.9544943,MeCN,50,Agilent,Agilent XCT,ion trap,ESI,MeCN/10 mM AmAc 50/50,Liigand,10.1038/s41598-020-62573-z,0.842467752,30.026945,8,6.77,1,1.29,2.94,5.49,NA,NA
4-aminophenol,C1=CC(=CC=C1N)O,PLIKAWJENQZMHA-UHFFFAOYSA-N,positive,1.16,107.2357361,MeCN,50,Agilent,Agilent XCT,ion trap,ESI,MeCN/10 mM AmAc 50/50,Liigand,10.1038/s41598-020-62573-z,0.842467752,30.026945,8,6.77,1,0.84,10.4,NA,5.43,-6.3
indazole,C1=CC=C2C(=C1)C=NN2,BAXOFTOLAUCFNW-UHFFFAOYSA-N,positive,1.3,108.5473274,MeCN,50,Agilent,Agilent XCT,ion trap,ESI,MeCN/10 mM AmAc 50/50,Liigand,10.1038/s41598-020-62573-z,0.842467752,30.026945,8,6.77,1,1.3,12.15,NA,1.67,NA
2-acetamido-5-nitrothiazole,CC(=NC1=NC=C(N(=O)=O)S1)O,UJRRDDHEMZLWFI-UHFFFAOYSA-N,positive,0.23,112.8572775,MeCN,50,Agilent,Agilent XCT,ion trap,ESI,MeCN/10 mM AmAc 50/50,Liigand,10.1038/s41598-020-62573-z,0.842467752,30.026945,8,6.77,1,1.39,3.48,NA,-4.02,-8.83
AMPA,C(N)P(=O)(O)O,MGRVRXRGTBOSHW-UHFFFAOYSA-N,positive,0.48,102.1776784,MeCN,50,Agilent,Agilent XCT,ion trap,ESI,MeCN/10 mM AmAc 50/50,Liigand,10.1038/s41598-020-62573-z,0.842467752,30.026945,8,6.77,1,-2.85,-0.2,6.97,9.94,NA
aldicarb-sulfone,CC(C)(/C=N/OC(=NC)O)S(=O)(=O)C,YRRKLBAKDXSTNC-WEVVVXLNSA-N,positive,1.99,115.2851643,MeCN,50,Agilent,Agilent XCT,ion trap,ESI,MeCN/10 mM AmAc 50/50,Liigand,10.1038/s41598-020-62573-z,0.842467752,30.026945,8,6.77,1,-0.62,-0.16,NA,1.85,0.72
thiophanate-methyl,COC(=NC(=NC1=CC=CC=C1N=C(N=C(O)OC)S)S)O,QGHREAKMXXNCOA-UHFFFAOYSA-N,positive,2.67,128.8687051,MeCN,50,Agilent,Agilent XCT,ion trap,ESI,MeCN/10 mM AmAc 50/50,Liigand,10.1038/s41598-020-62573-z,0.842467752,30.026945,8,6.77,1,4.28,1.12,3.26,-1.36,-2.04
bifenthrin,CC1=C(C=CC=C1C2=CC=CC=C2)COC(=O)C3C(/C=C(/C(F)(F)F)\Cl)C3(C)C,OMFRMAHOUUJSGP-UNOMPAQXSA-N,positive,0,169.8596568,MeCN,50,Agilent,Agilent XCT,ion trap,ESI,MeCN/10 mM AmAc 50/50,Liigand,10.1038/s41598-020-62573-z,0.842467752,30.026945,8,6.77,1,6.59,NA,NA,-7.1,NA
phenthoate,CCOC(=O)C(C1=CC=CC=C1)SP(=S)(OC)OC,XAMUDJHXFNRLCY-UHFFFAOYSA-N,positive,2.1,127.1214637,MeCN,50,Agilent,Agilent XCT,ion trap,ESI,MeCN/10 mM AmAc 50/50,Liigand,10.1038/s41598-020-62573-z,0.842467752,30.026945,8,6.77,1,3.36,NA,NA,-7.26,NA
p-anisaldehyde,COC1=CC=C(C=C1)C=O,ZRSNZINYAWTAHE-UHFFFAOYSA-N,positive,0.75,109.3911253,MeCN,50,Agilent,Agilent XCT,ion trap,ESI,MeCN/10 mM AmAc 50/50,Liigand,10.1038/s41598-020-62573-z,0.842467752,30.026945,8,6.77,1,1.53,NA,NA,-4.84,-7.13
4-hydroxybenzaldehyde,C1=CC(=CC=C1C=O)O,RGHHSNMVTDWUBI-UHFFFAOYSA-N,positive,0.7,108.2276665,MeCN,50,Agilent,Agilent XCT,ion trap,ESI,MeCN/10 mM AmAc 50/50,Liigand,10.1038/s41598-020-62573-z,0.842467752,30.026945,8,6.77,1,1.38,7.32,NA,-7.1,-7.42
cinnamic acid,C1=CC=C(C=C1)/C=C/C(=O)O,WBYWAXJHAXSJNI-VOTSOKGWSA-N,positive,-0.35,110.5662821,MeCN,50,Agilent,Agilent XCT,ion trap,ESI,MeCN/10 mM AmAc 50/50,Liigand,10.1038/s41598-020-62573-z,0.842467752,30.026945,8,6.77,1,2.14,4.32,NA,NA,NA
scopolamine,CN1[C@@H]2CC(C[C@H]1[C@H]3[C@@H]2O3)OC(=O)[C@H](CO)C4=CC=CC=C4,STECJAGHUSJQJN-USLFZFAMSA-N,positive,3.27,121.7100296,MeCN,50,Agilent,Agilent XCT,ion trap,ESI,MeCN/10 mM AmAc 50/50,Liigand,10.1038/s41598-020-62573-z,0.842467752,30.026945,8,6.77,1,0.89,15.15,NA,6.95,-2.74
cyanophenphos,CCOP(=S)(C1=CC=CC=C1)OC2=CC=C(C=C2)C#N,LRNJHZNPJSPMGK-UHFFFAOYSA-N,positive,2.03,124.5069044,MeCN,50,Agilent,Agilent XCT,ion trap,ESI,MeCN/10 mM AmAc 50/50,Liigand,10.1038/s41598-020-62573-z,0.842467752,30.026945,8,6.77,1,4.51,NA,NA,NA,NA
metamitrone,CC1=NN=C(C2=CC=CC=C2)C(=O)N1N,VHCNQEUWZYOAEV-UHFFFAOYSA-N,positive,2.5,113.2820223,MeCN,50,Agilent,Agilent XCT,ion trap,ESI,MeCN/10 mM AmAc 50/50,Liigand,10.1038/s41598-020-62573-z,0.842467752,30.026945,8,6.77,1,0.44,NA,NA,2.78,-2.17
isoproturon,CC(C)C1=CC=C(C=C1)NC(=O)N(C)C,PUIYMUZLKQOUOZ-UHFFFAOYSA-N,positive,3.34,114.8941246,MeCN,50,Agilent,Agilent XCT,ion trap,ESI,MeCN/10 mM AmAc 50/50,Liigand,10.1038/s41598-020-62573-z,0.842467752,30.026945,8,6.77,1,2.57,13.79,NA,-3.11,NA
alachlor,CCC1=CC=CC(CC)=C1N(COC)C(=O)CCl,XCSGPAVHZFQHGE-UHFFFAOYSA-N,positive,2.3,154.6424683,MeCN,50,Agilent,Agilent XCT,ion trap,ESI,MeCN/10 mM AmAc 50/50,Liigand,10.1038/s41598-020-62573-z,0.842467752,30.026945,8,6.77,1,3.59,16.6,NA,-4.21,-6.46
normetanephrine,COC1=CC(=CC=C1O)C(CN)O,YNYAYWLBAHXHLL-UHFFFAOYSA-N,positive,0.7,111.4009062,MeCN,50,Agilent,Agilent XCT,ion trap,ESI,MeCN/10 mM AmAc 50/50,Liigand,10.1038/s41598-020-62573-z,0.842467752,30.026945,8,6.77,1,-0.39,9.99,14.22,9.06,-3.2
tetraconazole,C1=CC(C(CN2C=NC=N2)COC(C(F)F)(F)F)=C(C=C1Cl)Cl,LQDARGUHUSPFNL-UHFFFAOYSA-N,positive,2.34,202.7496815,MeCN,50,Agilent,Agilent XCT,ion trap,ESI,MeCN/10 mM AmAc 50/50,Liigand,10.1038/s41598-020-62573-z,0.842467752,30.026945,8,6.77,1,3.86,18.88,NA,2.05,-4.58
tetraethylammonium,CC[N+](CC)(CC)CC,CBXCPBUEXACCNR-UHFFFAOYSA-N,positive,3.93,109.5754828,MeCN,50,Agilent,Agilent XCT,ion trap,ESI,MeCN/10 mM AmFor 50/50,Liigand,10.1038/s41598-020-62573-z,0.842467752,30.026945,8,6.8,1,-2.54,NA,NA,NA,NA
2-Cl-C6H4-P2(pyrr),C1=CC=C(C(=C1)Cl)N=P(N=P(N2CCCC2)(N3CCCC3)N4CCCC4)(N5CCCC5)N6CCCC6,UVRZAMUOUDELST-UHFFFAOYSA-N,positive,5.24,179.7017139,MeCN,50,Agilent,Agilent XCT,ion trap,ESI,MeCN/10 mM AmFor 50/50,Liigand,10.1038/s41598-020-62573-z,0.842467752,30.026945,8,6.8,1,2.5,NA,NA,5.49,-2.83
4-CF3-C6H4-P(pyrr),C1CCN(C1)P(=NC2=CC=C(C=C2)C(F)(F)F)(N3CCCC3)N4CCCC4,MDJFYWKFFRJRJG-UHFFFAOYSA-N,positive,3.89,124.7564972,MeCN,50,Agilent,Agilent XCT,ion trap,ESI,MeCN/10 mM AmFor 50/50,Liigand,10.1038/s41598-020-62573-z,0.842467752,30.026945,8,6.8,1,3.02,NA,NA,0.98,-3.14
tetrapropylammonium,CCC[N+](CCC)(CCC)CCC,OSBSFAARYOCBHB-UHFFFAOYSA-N,positive,3.97,114.4383086,MeCN,50,Agilent,Agilent XCT,ion trap,ESI,MeCN/10 mM AmFor 50/50,Liigand,10.1038/s41598-020-62573-z,0.842467752,30.026945,8,6.8,1,-0.45,NA,NA,NA,NA
tripropylamine,CCCN(CCC)CCC,YFTHZRPMJXBUME-UHFFFAOYSA-N,positive,3.88,110.762141,MeCN,50,Agilent,Agilent XCT,ion trap,ESI,MeCN/10 mM AmFor 50/50,Liigand,10.1038/s41598-020-62573-z,0.842467752,30.026945,8,6.8,1,2.83,NA,NA,10.82,NA
pyridine,C1=CC=NC=C1,JUJWROOIHBZHMG-UHFFFAOYSA-N,positive,0.66,105.8901739,MeCN,50,Agilent,Agilent XCT,ion trap,ESI,MeCN/10 mM AmFor 50/50,Liigand,10.1038/s41598-020-62573-z,0.842467752,30.026945,8,6.8,1,0.76,NA,NA,5.12,NA
pyrrolidine,C1CCNC1,RWRDLPDLKQPQOW-UHFFFAOYSA-N,positive,2.88,104.795133,MeCN,50,Agilent,Agilent XCT,ion trap,ESI,MeCN/10 mM AmFor 50/50,Liigand,10.1038/s41598-020-62573-z,0.842467752,30.026945,8,6.8,1,0.21,NA,NA,11.4,NA
diethylamine,CCNCC,HPNMFZURTQLUMO-UHFFFAOYSA-N,positive,3,104.8181357,MeCN,50,Agilent,Agilent XCT,ion trap,ESI,MeCN/10 mM AmFor 50/50,Liigand,10.1038/s41598-020-62573-z,0.842467752,30.026945,8,6.8,1,0.52,NA,NA,10.58,NA
"3-methoxy-N,N-dimethylaniline",CN(C)C1=CC=CC(=C1)OC,MOYHVSKDHLMMPS-UHFFFAOYSA-N,positive,1.77,110.8756297,MeCN,50,Agilent,Agilent XCT,ion trap,ESI,MeCN/10 mM AmFor 50/50,Liigand,10.1038/s41598-020-62573-z,0.842467752,30.026945,8,6.8,1,1.92,NA,NA,3.89,-6.97
2-aminopyridine,C1=CC=NC(=C1)N,ICSNLGPSRYBMBD-UHFFFAOYSA-N,positive,2.27,106.2555037,MeCN,50,Agilent,Agilent XCT,ion trap,ESI,MeCN/10 mM AmFor 50/50,Liigand,10.1038/s41598-020-62573-z,0.842467752,30.026945,8,6.8,1,0.52,NA,NA,6.84,NA
"4-dimethylamino-N,N-dimethylaniline",CN(C)C1=CC=C(C=C1)N(C)C,CJAOGUFAAWZWNI-UHFFFAOYSA-N,positive,3.04,112.256819,MeCN,50,Agilent,Agilent XCT,ion trap,ESI,MeCN/10 mM AmFor 50/50,Liigand,10.1038/s41598-020-62573-z,0.842467752,30.026945,8,6.8,1,2.19,NA,NA,6.89,3.41
reserpine,COC1=CC=C2C=3CCN4C[C@H]5C[C@H]([C@@H]([C@H]([C@H]5C[C@@H]4C3NC2=C1)C(=O)OC)OC)OC(=O)C6=CC(=C(C(=C6)OC)OC)OC,QEVHRUUCFGRFIF-MDEJGZGSSA-N,positive,4.04,147.2634982,MeCN,50,Agilent,Agilent XCT,ion trap,ESI,MeCN/10 mM AmFor 50/50,Liigand,10.1038/s41598-020-62573-z,0.842467752,30.026945,8,6.8,1,3.53,16.29,NA,7.39,-3.92
glutamine,C(CC(=N)O)[C@@H](C(=O)O)N,ZDXPYRJPNDTMRX-VKHMYHEASA-N,positive,1.47,107.1012927,MeCN,50,Agilent,Agilent XCT,ion trap,ESI,MeCN/10 mM AmFor 50/50,Liigand,10.1038/s41598-020-62573-z,0.842467752,30.026945,8,6.8,1,-5.83,-0.46,2.07,13.07,9.53
alpha-alanine,CC(C(=O)O)N,QNAYBMKLOCPYGJ-UHFFFAOYSA-N,positive,1.04,104.021047,MeCN,50,Agilent,Agilent XCT,ion trap,ESI,MeCN/10 mM AmFor 50/50,Liigand,10.1038/s41598-020-62573-z,0.842467752,30.026945,8,6.8,1,-2.84,2.47,NA,9.48,NA
Phe-Phe-Phe-Phe,C1=CC=C(C=C1)CC(C(=NC(CC2=CC=CC=C2)C(=NC(CC3=CC=CC=C3)C(=NC(CC4=CC=CC=C4)C(=O)O)O)O)O)N,NJNPEPZWJBIJCK-UHFFFAOYSA-N,positive,3.65,151.5729882,MeCN,50,Agilent,Agilent XCT,ion trap,ESI,MeCN/10 mM AmFor 50/50,Liigand,10.1038/s41598-020-62573-z,0.842467752,30.026945,8,6.8,1,4.26,3.16,3.68,9.53,1.4
"1,10-phenanthroline",C1=CC2=CC=C3C=CC=NC3=C2N=C1,DGEZNRSVGBDHLK-UHFFFAOYSA-N,positive,3.65,114.4816014,MeCN,50,Agilent,Agilent XCT,ion trap,ESI,MeCN/10 mM AmFor 50/50,Liigand,10.1038/s41598-020-62573-z,0.842467752,30.026945,8,6.8,1,2.29,NA,NA,4.8,0.42
"N,N-dimethyl-4-[2-[4-[(triphenylphosphoranylidene)amino]phenyl]diazenyl]-benzenamine",CN(C)C1=CC=C(C=C1)/N=N/C2=CC=C(C=C2)N=P(C3=CC=CC=C3)(C4=CC=CC=C4)C5=CC=CC=C5,BDKHGSIKTGAJFQ-JEIPZWNWSA-N,positive,4.81,143.4561521,MeCN,50,Agilent,Agilent XCT,ion trap,ESI,MeCN/10 mM AmFor 50/50,Liigand,10.1038/s41598-020-62573-z,0.842467752,30.026945,8,6.8,1,9.85,NA,NA,3.59,1.72
"4-[2-[4-[(diphenyl-1-pyrrolidinylphosphoranylidene)amino]phenyl]diazenyl]-N,N-dimethyl-benzenamine",CN(C)C1=CC=C(C=C1)/N=N/C2=CC=C(C=C2)N=P(C3=CC=CC=C3)(C4=CC=CC=C4)N5CCCC5,YDXCUZWMJGXIGH-QNEJGDQOSA-N,positive,4.66,140.9563016,MeCN,50,Agilent,Agilent XCT,ion trap,ESI,MeCN/10 mM AmFor 50/50,Liigand,10.1038/s41598-020-62573-z,0.842467752,30.026945,8,6.8,1,8.36,NA,NA,5.53,3.58
4-[2-(4-nitrophenyl)diazenyl]-N-(phenyldi-1-pyrrolidinylphosphoranylidene)benzenamine,C1=CC=C(C=C1)P(=NC2=CC=C(C=C2)/N=N/C3=CC=C(C=C3)N(=O)=O)(N4CCCC4)N5CCCC5,CVMNNFOTFQWDTF-BYYHNAKLSA-N,positive,4.85,135.9201974,MeCN,50,Agilent,Agilent XCT,ion trap,ESI,MeCN/10 mM AmFor 50/50,Liigand,10.1038/s41598-020-62573-z,0.842467752,30.026945,8,6.8,1,6.56,NA,NA,2.72,-0.73
3-methoxycatechol,COC1=CC=CC(=C1O)O,LPYUENQFPVNPHY-UHFFFAOYSA-N,positive,-0.01,108.5474435,MeCN,50,Agilent,Agilent XCT,ion trap,ESI,MeCN/10 mM AmFor 50/50,Liigand,10.1038/s41598-020-62573-z,0.842467752,30.026945,8,6.8,1,1.21,9.56,13.13,-4.9,-5.41
4-methoxypyridine,COC1=CC=NC=C1,XQABVLBGNWBWIV-UHFFFAOYSA-N,positive,1.73,107.2357361,MeCN,50,Agilent,Agilent XCT,ion trap,ESI,MeCN/10 mM AmFor 50/50,Liigand,10.1038/s41598-020-62573-z,0.842467752,30.026945,8,6.8,1,0.6,NA,NA,6.52,-7.77
phthalic acid,C1=CC=C(C(=C1)C(=O)O)C(=O)O,XNGIFLGASWRNHJ-UHFFFAOYSA-N,positive,0.96,109.9544943,MeCN,50,Agilent,Agilent XCT,ion trap,ESI,MeCN/10 mM AmFor 50/50,Liigand,10.1038/s41598-020-62573-z,0.842467752,30.026945,8,6.8,1,1.29,2.94,5.49,NA,NA
4-aminophenol,C1=CC(=CC=C1N)O,PLIKAWJENQZMHA-UHFFFAOYSA-N,positive,1.71,107.2357361,MeCN,50,Agilent,Agilent XCT,ion trap,ESI,MeCN/10 mM AmFor 50/50,Liigand,10.1038/s41598-020-62573-z,0.842467752,30.026945,8,6.8,1,0.84,10.4,NA,5.43,-6.3
indazole,C1=CC=C2C(=C1)C=NN2,BAXOFTOLAUCFNW-UHFFFAOYSA-N,positive,1.24,108.5473274,MeCN,50,Agilent,Agilent XCT,ion trap,ESI,MeCN/10 mM AmFor 50/50,Liigand,10.1038/s41598-020-62573-z,0.842467752,30.026945,8,6.8,1,1.3,12.15,NA,1.67,NA
2-acetamido-5-nitrothiazole,CC(=NC1=NC=C(N(=O)=O)S1)O,UJRRDDHEMZLWFI-UHFFFAOYSA-N,positive,0.64,112.8572775,MeCN,50,Agilent,Agilent XCT,ion trap,ESI,MeCN/10 mM AmFor 50/50,Liigand,10.1038/s41598-020-62573-z,0.842467752,30.026945,8,6.8,1,1.39,3.48,NA,-4.02,-8.83
AMPA,C(N)P(=O)(O)O,MGRVRXRGTBOSHW-UHFFFAOYSA-N,positive,0.01,102.1776784,MeCN,50,Agilent,Agilent XCT,ion trap,ESI,MeCN/10 mM AmFor 50/50,Liigand,10.1038/s41598-020-62573-z,0.842467752,30.026945,8,6.8,1,-2.85,-0.2,6.97,9.94,NA
aldicarb-sulfone,CC(C)(/C=N/OC(=NC)O)S(=O)(=O)C,YRRKLBAKDXSTNC-WEVVVXLNSA-N,positive,2.36,115.2851643,MeCN,50,Agilent,Agilent XCT,ion trap,ESI,MeCN/10 mM AmFor 50/50,Liigand,10.1038/s41598-020-62573-z,0.842467752,30.026945,8,6.8,1,-0.62,-0.16,NA,1.85,0.72
thiophanate-methyl,COC(=NC(=NC1=CC=CC=C1N=C(N=C(O)OC)S)S)O,QGHREAKMXXNCOA-UHFFFAOYSA-N,positive,3.36,128.8687051,MeCN,50,Agilent,Agilent XCT,ion trap,ESI,MeCN/10 mM AmFor 50/50,Liigand,10.1038/s41598-020-62573-z,0.842467752,30.026945,8,6.8,1,4.28,1.12,3.26,-1.36,-2.04
bifenthrin,CC1=C(C=CC=C1C2=CC=CC=C2)COC(=O)C3C(/C=C(/C(F)(F)F)\Cl)C3(C)C,OMFRMAHOUUJSGP-UNOMPAQXSA-N,positive,0.26,169.8596568,MeCN,50,Agilent,Agilent XCT,ion trap,ESI,MeCN/10 mM AmFor 50/50,Liigand,10.1038/s41598-020-62573-z,0.842467752,30.026945,8,6.8,1,6.59,NA,NA,-7.1,NA
phenthoate,CCOC(=O)C(C1=CC=CC=C1)SP(=S)(OC)OC,XAMUDJHXFNRLCY-UHFFFAOYSA-N,positive,2.33,127.1214637,MeCN,50,Agilent,Agilent XCT,ion trap,ESI,MeCN/10 mM AmFor 50/50,Liigand,10.1038/s41598-020-62573-z,0.842467752,30.026945,8,6.8,1,3.36,NA,NA,-7.26,NA
p-anisaldehyde,COC1=CC=C(C=C1)C=O,ZRSNZINYAWTAHE-UHFFFAOYSA-N,positive,0.35,109.3911253,MeCN,50,Agilent,Agilent XCT,ion trap,ESI,MeCN/10 mM AmFor 50/50,Liigand,10.1038/s41598-020-62573-z,0.842467752,30.026945,8,6.8,1,1.53,NA,NA,-4.84,-7.13
4-hydroxybenzaldehyde,C1=CC(=CC=C1C=O)O,RGHHSNMVTDWUBI-UHFFFAOYSA-N,positive,1.03,108.2276665,MeCN,50,Agilent,Agilent XCT,ion trap,ESI,MeCN/10 mM AmFor 50/50,Liigand,10.1038/s41598-020-62573-z,0.842467752,30.026945,8,6.8,1,1.38,7.32,NA,-7.1,-7.42
cinnamic acid,C1=CC=C(C=C1)/C=C/C(=O)O,WBYWAXJHAXSJNI-VOTSOKGWSA-N,positive,0.18,110.5662821,MeCN,50,Agilent,Agilent XCT,ion trap,ESI,MeCN/10 mM AmFor 50/50,Liigand,10.1038/s41598-020-62573-z,0.842467752,30.026945,8,6.8,1,2.14,4.32,NA,NA,NA
scopolamine,CN1[C@@H]2CC(C[C@H]1[C@H]3[C@@H]2O3)OC(=O)[C@H](CO)C4=CC=CC=C4,STECJAGHUSJQJN-USLFZFAMSA-N,positive,3.73,121.7100296,MeCN,50,Agilent,Agilent XCT,ion trap,ESI,MeCN/10 mM AmFor 50/50,Liigand,10.1038/s41598-020-62573-z,0.842467752,30.026945,8,6.8,1,0.89,15.15,NA,6.95,-2.74
cyanophenphos,CCOP(=S)(C1=CC=CC=C1)OC2=CC=C(C=C2)C#N,LRNJHZNPJSPMGK-UHFFFAOYSA-N,positive,2.47,124.5069044,MeCN,50,Agilent,Agilent XCT,ion trap,ESI,MeCN/10 mM AmFor 50/50,Liigand,10.1038/s41598-020-62573-z,0.842467752,30.026945,8,6.8,1,4.51,NA,NA,NA,NA
metamitrone,CC1=NN=C(C2=CC=CC=C2)C(=O)N1N,VHCNQEUWZYOAEV-UHFFFAOYSA-N,positive,3.24,113.2820223,MeCN,50,Agilent,Agilent XCT,ion trap,ESI,MeCN/10 mM AmFor 50/50,Liigand,10.1038/s41598-020-62573-z,0.842467752,30.026945,8,6.8,1,0.44,NA,NA,2.78,-2.17
isoproturon,CC(C)C1=CC=C(C=C1)NC(=O)N(C)C,PUIYMUZLKQOUOZ-UHFFFAOYSA-N,positive,3.79,114.8941246,MeCN,50,Agilent,Agilent XCT,ion trap,ESI,MeCN/10 mM AmFor 50/50,Liigand,10.1038/s41598-020-62573-z,0.842467752,30.026945,8,6.8,1,2.57,13.79,NA,-3.11,NA
